,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Proteomics private topic 5
67,-4.072616,-3.38875,2.138452,-5.6705966,-7.0955677,-1.4319011,-6.271248,-5.413798
68,-0.92657715,-5.1774983,-5.6236253,2.52212,-6.5786643,-3.6812158,-4.82592,-2.3912766
69,-1.1294744,-2.3818364,-5.2982197,2.4327433,-6.527457,-1.3488998,-6.9633446,-5.2930202
70,-1.5083437,2.3520837,-6.4547997,-4.990509,-6.226535,-1.1789174,-5.5174837,-3.0936003
71,-1.4279782,2.3138676,-6.585551,-6.5459795,-6.8430657,-1.9796013,-5.940302,-4.586898
72,2.6558175,-4.141992,-4.747161,-5.1613374,-5.9703803,-0.8741729,-4.733733,-2.0980814
73,-0.56852645,-5.0227947,2.1243668,-5.758443,-6.9611607,-2.6122167,-6.2156076,-3.986148
74,2.6843417,-6.0252,-5.5051036,-5.5177217,-6.4357758,-2.5629222,-5.643171,-2.124023
75,-2.407958,-4.5008507,-6.5542583,-5.4997196,2.4137952,-4.0400333,-6.1388702,-2.2046766
76,-6.2467704,-5.1483407,-5.8071947,-4.464746,-6.4516816,-6.082729,-6.346864,2.2993183
77,-0.7736869,-5.9276776,2.119804,-3.2037444,-5.5317144,-3.540763,-6.395222,-3.6617122
78,-2.8575966,-4.028,-6.608549,-5.481561,-6.6588535,2.8796887,-5.739099,-4.1510324
79,-3.104915,-2.935873,-6.3475137,-2.634585,-6.31891,-4.6140985,2.3273456,-2.2503476
80,-4.235105,2.2630143,-5.9960017,-5.7073193,-5.527194,-2.3863506,-4.722344,-1.5288701
81,-1.1110117,-5.0601697,-5.907772,-6.3508625,2.3627174,-1.5886954,-6.7581835,-2.2086186
82,-1.3408185,-1.6050519,2.0617921,-5.5397778,-5.041337,-2.284697,-5.7020893,-4.1668673
83,-3.1093652,-3.922709,-5.688302,-5.387078,2.3629699,-5.5110674,-6.0494633,-1.8175187
84,-3.197456,-1.7520647,2.1477163,-4.7567277,-6.5160217,-1.4848838,-4.4027767,-1.0947144
85,-2.2344785,-5.9138336,-6.7072334,-6.310258,2.4316812,-1.7836187,-5.5133104,-0.9851776
86,-4.5188904,-3.5662317,-7.0949297,-2.50172,2.4105659,-2.515859,-6.7576785,-2.7082648
87,-1.7775912,-4.0146194,2.1639128,-4.975111,-6.249569,-3.4416382,-5.96033,-5.070022
88,-1.0920575,-4.523901,-6.13914,-6.0059643,-6.9915023,-0.989051,-5.7557445,2.2309372
89,-1.1367681,-2.2599702,-6.2878737,-4.5398846,-5.9584856,-2.7562718,2.3167126,-1.1546787
90,-1.0658001,-5.0697775,2.1568103,-3.9768746,-6.779001,-1.0228895,-4.983632,-1.2332487
91,-1.2872114,2.32638,-6.588238,-4.483613,-6.4704924,-1.5705614,-6.4091997,-5.1330156
92,-3.0371957,-6.258006,-5.916073,-5.9727516,2.4329998,-1.877768,-5.5195847,-2.1314778
93,-1.0035945,-4.4571404,-5.570463,-4.48612,-6.538683,-2.344033,2.3008308,-2.0194235
94,-1.7019552,-2.1592956,-5.393957,-5.407898,-6.17855,-3.276988,2.3137202,-1.7532521
95,-2.602127,-3.651066,-6.219528,-3.6844463,-6.640899,-0.5068811,2.2868626,-1.8615217
96,-2.217215,-2.9610386,2.0997648,-5.084982,-6.175502,-4.3314385,-5.6190863,-2.6173909
97,-2.0252504,-2.5921547,-5.4256244,-3.878699,-6.1858664,-0.014866471,2.3104105,-1.047344
98,-5.3707657,2.3503313,-6.0806856,-5.4862385,-6.4055977,-0.9827223,-6.3986654,-5.793026
99,-0.9983597,-5.9922094,-6.5490723,2.4268572,-6.66951,-0.44951224,-6.058981,-1.9654542
